code,name,latitude,longitude,lines,routes
2014,OIKISMOS AGIAS PARASKEUIS,35.3113532,25.0878998,01;07;14;20;21,0091;0932;1027;29124;30094;30096;31013;31015;39310
9913,OULAF PALME - KYPARISSIAS,35.29278728178307,25.141697517791,20,31031;31032
1267,OULOF PALME,35.2828416881507,25.14023687850436,09;50,0081;21031
1245,OULOF PALME,35.2823739,25.1401309,20;50,0081;0082;31031;31032
1506,OULOF PALME & ALKYONOS (TERMA),35.30415825764521,25.13807720827611,20;50,0081;0082;31031;31032
1504,OULOF PALME 102,35.3113672,25.1354046,04,20073;21007
1505,OULOF PALME 134,35.3083852,25.1367911,04;50,0081;20073;21007
1089,OULOF PALME 158,35.305849,25.1373186,04;09;50,0081;0082;20073;21007;21031
9925,OULOF PALME 191,35.3013051,25.1391817,09,21031
9979,OULOF PALME 255 - KYPARISIAS,35.29174742352629,25.141393700837366,09,21031
1502,OULOF PALME 28,35.3169049,25.1332075,04,20073;21007
9980,OULOF PALME 312,35.28752939628831,25.14132392141137,09,21031
1086,OULOF PALME 52,35.3152002,25.1337066,04,20073;21007
9926,OULOF Palme 219,35.2970856,25.1405307,09,21031
2018,PAGNI - HOSPITAL,35.303562008582574,25.08482290062906,01;07;11;20;21;50,1027;20093;21013;21015;21016;29310;29923;30096;30098;30099;31013;31015
1409,PANAGITSA,35.3246785,25.1293519,04;21;50,1027;20073;21006;3003
0630,PANANEIO,35.3350348,25.1278092,05,1008;1110
1514,PAPANASTASIOU 123,35.3170597,25.1404601,20,31007
1145,PAPANASTASIOU 145,35.3145743,25.1414378,20;21,1027;30073;30108;31007
1179,PAPANASTASIOU 179,35.3114454,25.1433215,20,30073;30108;31007
4442,PAPANASTASIOU 217,35.3082621,25.1459196,20;50,0081;0082;30073;30108;31007
1334,PAPANASTASIOU 34,35.323592,25.1392878,04,21007
1515,PAPANASTASIOU 91,35.3186303,25.1404579,20,31007
0092,PAPANASTASIOU 92,35.3256912,25.138676,04,21007
2020,PARASYRI,35.32041191889172,25.09582348009213,01;07;14;20;21;50,0091;0932;1027;29124;30094;30096;30099;31013;31015;31029;33029;39310
1206,PERTSELAKI,35.3256111,25.1390378,02;03;09;50,20002;21001;21002;21003;21031;3002;4002
1231,PERTSELAKI,35.3247937,25.1399309,17;20;50,0062;1061;20200;31001;31002;31003;31007;31028;31031;31032
1025,PETOUSIS - HOTEL  ROXANI,35.3352979,25.0683662,01;20;50,10088;31009;31010
1012,PETOUSIS - HOTEL  ROXANI,35.3354127,25.0684576,06,21009
0303,PETROEMPORIKI,35.3328747,25.1852987,07,20064;30096
0317,PETROEMPORIKI,35.3332165,25.1857446,12;19,20100;30066
1199,PIKRODAFNI,35.3172549,25.1517895,20,30090
0904,PINELOPIS,35.310521,25.1092093,15,21022
1820,PITSOULAKI,35.3248311,25.1435887,20,30090
3004,PITSOULAKI SXOLIKO PEIRAMATIKO,35.323138423149125,25.142879291401652,17;50,3003;31028
1175,POLICE STATION,35.3330382,25.165418,07,20064;30096
1176,POLICE STATION,35.3331127,25.1656614,12;19,20100;30066
1014,POLICE STATION - HOTEL DOLPHIN BAY,35.335129659763574,25.063156315774208,06,21009
0912,POLICE STATION PRASSA,35.3315961,25.1671391,07,21012
1218,POLYNEIKOUS,35.304181,25.1518015,03,21003
0107,POROS,35.3386272,25.1470028,06;10;11;12;15;19;31;50,20031;20043;20100;21009;21015;21018;21022;21029;21033;21034;29310;29923;3002;30065;30066;30067;33032
0138,POROS,35.3385867,25.1466492,01;07;14,0032;0932;20033;20056;20064;20065;21012;29124;30051;30096;31000;31009;31015;31018;31022;31025;31026;31029;31033;31034;39310;9944
0100,PRASSA,35.3147478,25.188234,07,21012
0913,PRASSA 2,35.3213666,25.1930994,07,21012
1248,PROFITI ILIA,35.2694021,25.1380657,09;50,0081;21031
1811,PROKLOU,35.3312858,25.1484833,16,20090
1116,PROTYPO HIGH SCHOOL  (E),35.3115259,25.1021169,01;07;14;17;20;50,0032;20056;20064;20065;3003;30075;30099;31018;31025;31026;9901;9944
1106,PROTYPO HIGH SCHOOL  (M),35.3114566,25.1020371,12;19;50,20031;20043;20075;21018;3002;30065;30066;30067;30098;4002;9101
1404,ROMANTIKI GONIA,35.3287441,25.1300607,04,20073;21006
0306,Riding Academy Crete,35.32784177945645,25.196677079974638,07,20064;21012;30096
0314,Riding Academy Crete,35.32792678016635,25.196593205765506,12;19,20100;30066
2101,SEAP,35.33747670895456,25.166984496472704,05;06;10;11;12;15;19;31;50,1008;1110;20031;20043;21009;21015;21018;21022;21029;21033;21034;29310;3002
2144,SEAP,35.3374032,25.1672712,01;05,0032;0932;1008;1110;30051;31000;31009;31015;31018;31022;31025;31026;31029;31033;31034;39310;9944
0612,SERRON,35.3310418,25.1437455,05,1008
1315,SKALANI 1,35.2835349,25.1752255,02,20002;21002
1317,SKALANI 2,35.282998,25.17653,02,20002;21002
1316,SKALANI 2,35.282928,25.1770659,20,31002
1319,SKALANI 3,35.2825411,25.1808625,02,20002;21002
1318,SKALANI 3,35.2826165,25.1807352,20,31002
1320,SKALANI 4,35.2821998,25.1847166,20,31002
9934,SKALANI KATO,35.2821232,25.1846572,02,21002
1321,SKALANI STROFI KATO,35.282063501454985,25.18483595830118,02,20002
0302,SMINARCHIA,35.3291548,25.1791509,07,20064;30096
0318,SMINARCHIA,35.3294277,25.1783888,12;19,20100;30066
1129,SOFOKLI VENIZELOU,35.33608277310879,25.10866294352194,92,1035
1135,SOFOKLI VENIZELOU-ARXIEPISKOPOU MAKARIOU,35.341449824865855,25.12322344037132,92,1035
1137,SOFOKLI VENIZELOU-GIAMALAKI,35.34115763946936,25.129891840496086,20;91;92,1035;1036;30073;31006
1138,SOFOKLI VENIZELOU-HISTORICAL MUSEUM,35.3419461,25.1307783,20;50,1061;30073;31006
1918,SOLONOS 32,35.3041109,25.1516015,20,31003
1919,SOLONOS 57,35.3045726,25.1502279,20,31003
0916,SPERXIOU & OULAF PALME,35.3126406,25.1354818,20,30073;30108
1311,SPILIA,35.2852842,25.168845,02,20002;21002
1310,SPILIA,35.2856528,25.1686394,20,31002
1809,SQUARE AGIAS AIKATERINIS,35.328788,25.1474541,16,20090
0135,SQUARE ELEUTIERIAS,35.338168182949055,25.136980243551253,01;07;14;20;50,0032;0062;0091;0932;20033;20056;20064;20065;20200;21012;29124;30051;30075;30083;30090;30094;30095;30096;30107;30108;31000;31001;31002;31003;31007;31009;31010;31013;31015;31018;31022;31025;31026;31029;31031;31032;31033;31034;33029;39310;9944
0111,SQUARE ELEUTIERIAS - ASTORIA,35.3384751,25.1366217,02;03;04;06;09;10;11;12;15;16;19;31;50;91,1036;20002;20031;20043;20073;20075;20083;20090;20093;20095;20100;20200;21001;21002;21003;21006;21007;21009;21013;21015;21016;21018;21022;21029;21031;21033;21034;23029;29310;29923;30065;30066;30067;33032
0134,SQUARE KORNAROU,35.33624252564293,25.133030925760256,01;05;07;14;20;23;50;92,0032;0062;0091;0932;1008;1035;1110;20033;20056;20064;20065;21012;21028;29124;30051;30075;30083;30094;30095;30096;31009;31010;31013;31015;31018;31022;31025;31026;31029;31033;31034;33029;39310;9944
2215,SQUARE KORNAROU M,35.3362934,25.1328722,05;06;10;11;12;15;17;19;20;31;50;91;92;93,1008;1035;1036;1037;1061;1110;20031;20043;20075;20083;20093;20095;20100;21009;21013;21015;21016;21018;21022;21029;21033;21034;23029;29310;29923;30065;30066;30067;30073;31006;31028;33032
1202,SQUARE KYPROU,35.3339667,25.1348898,01;02;03;04;09;14;23;50;93,0032;0062;1037;20002;20056;20073;20200;21001;21002;21003;21006;21007;21028;21031;9944
1419,SQUARE KYPROU,35.3340414,25.1352134,20;93,1037;30073;31006
1405,SQUARE NI&AS,35.3276089,25.1279212,04,20073;21006
1144,SQUARE SINANI,35.3196714,25.1330819,04;20;21;50,1027;21006;3002;3003;30073;30107;30108;31006;4002
2266,ST. GIAMALAKI & KAZANTZAKI,35.339288,25.1296956,20;91;92,1035;1036;30073;31006
0002,STREET  STADIOU 22,35.34318255525226,25.159426162077136,91,1036
0523,STREET ALFA & RO,35.3174719,25.170835,11;12;14;31,20033;20056;20065;28123;29124;29923;30065;30067;33032
0519,STREET GAMA & GIOTA,35.3239562885402,25.1759395805452,14,20033;20065
0518,STREET GAMA & THITA,35.3239488,25.1739133,14,20033;20065
0507,STREET GAMA & ZITA,35.3239513758623,25.168163906261,14,20033;20065
0508,STREET GAMA & ZITA,35.3239430442826,25.1711298184967,14,20033;20065
0520,STREET RO & LAMDA,35.3219153,25.1777205,14,20033;20065
0521,STREET RO & VITA,35.31933605338507,25.16987040082979,14,20033;20065;29124
0550,STREET RO & VITA,35.3196119,25.1698835,11;12;31,29923;30065;30067;33032
9957,STREET RO & VITA,35.31988180085718,25.17668621148546,14,20033;20065
9958,STREET RO & VITA,35.320305884920046,25.171931168033158,14,20033;20065
9101,STUDENT PEIRAMATIKO APO PAPANDREOU,35.3303897,25.1338608,50,3002;4002;9101
1113,STUDENT RESIDENCE ELMEPA,35.3138666,25.1017448,12;19;50,20031;20043;20075;21018;3002;30065;30066;30067;4002;9101
1114,STUDENT RESIDENCE ELMEPA,35.3137502,25.101849,01;07;14;17;20;50,0032;20056;20064;20065;3003;30075;31018;31025;31026;9901;9944
1133,TALOS,35.3405894,25.1194951,92,1035
1146,TALOS,35.3407065,25.1190986,92,1035
1026,TECHNOPOLIS -  HOTEL MARIRENA,35.3355769,25.0700351,01;20;50,10088;31009;31010
1011,TECHNOPOLIS -  HOTEL MARIRENA,35.3357179,25.0702086,06,21009
0621,TIERISSOU 110,35.3309077,25.1201549,05,1008;1110
0618,TIERISSOU 16,35.3351949,25.1234505,05,1008;1110
0619,TIERISSOU 38,35.3339073,25.1225856,05,1008;1110
0620,TIERISSOU 84,35.3321331,25.1209612,05,1008;1110
1818,TITOU GEORGIADOU,35.3344654,25.1400486,20,30090
2222,TMIMA EPISTIMIS YPOLOGISTON,35.30863726035576,25.08466238852381,01;07;11;14;20;21,0091;0932;1027;21016;29124;30094;30096;31013;31015;39310
0720,TOWN HALL GAZIOU,35.32540563963474,25.0666567766865,10;50,10088;20083;20095;21033;21034
0721,TOWN HALL GAZIOU,35.3252453,25.0664855,01;20,30083;30095;31033;31034
1204,TRIA PEUKA L.KNOSSOU 40,35.3299592,25.1365314,02;03;09;23;50,0062;20002;21001;21002;21003;21028;21031
1163,TS AGIA AIKATERINI,35.30929967379131,25.155717862631825,16;20,20090;30090
1041,TS AGION PANTON,35.3108942,25.1736811,11;12;14;31,20033;20056;20065;28123;29124;29923;30065;30067;33032
9911,TS AIRPORT,35.335864,25.1737746,05;06;10;11;12;15;19;31;50,1008;1110;20031;20043;21009;21015;21018;21022;21029;21033;21034;29310;3002
9311,TS AIRPORT RETURNS,35.3363817,25.172392,01;05,0032;0932;1008;1110;30051;31000;31009;31015;31018;31022;31025;31026;31029;31033;31034;39310;9944
0015,TS AMMOUDARA,35.3400704,25.0534417,01;06;20;50,10088;21009;31009;31010
1440,TS AMNISSOS TERMINAL STATION,35.331439872962214,25.21063595109387,07;12;19,20064;20100;21012;30066;30096
0021,TS CEMETERY,35.3217012,25.157988,17;23,21028;31028
0012,TS ELMEPA,35.30959080338453,25.102455161102068,01;12;19;50,0032;20031;20043;20075;21018;3002;30065;30066;30067;30098;4002;9101
0923,TS ELMEPA EPIS.,35.3096174,25.1025825,01;07;14;17;20;50,20056;20064;20065;30075;30099;31018;31025;31026;9901;9944
1172,TS EPIVATIKOS STATIMOS,35.3414914,25.1450586,91,1036
0037,TS FOINIKIA,35.2819883,25.1062546,01;15,21022;31022
1442,TS FORTETSAS,35.3021358,25.1488956,03;20,21003;31003
0016,TS GAZI,35.3218506,25.0546348,01;10;20,20083;21033;30083;31033
0025,TS GIOFYRO,35.3293,25.1065647,11;12;19;21;31;50,1027;20031;20043;20075;20093;20100;21013;21015;21016;21018;21029;23029;29310;29923;3002;30065;30066;30067;33032;4002;9101
0014,TS GIOFYRO (E),35.3290339,25.1068002,01;07;14;17;20;21;23,0032;0091;0932;1027;20033;20052;20056;20064;20065;21012;21028;29124;30051;30075;30094;30096;31013;31015;31018;31025;31026;31029;33029;39310;9901;9944
0024,TS KNOSSOS,35.29942044815481,25.1607967048935,20;21,1027;31001;31002
1119,TS PANEPISTIMIO,35.30584571394926,25.08286461534425,01;11;14;20;21,0091;0932;1027;21016;29124;30094;31013;31015;39310
0022,TS PORT,35.34099608740013,25.138825882838052,02;03;04;09;10;11;12;16;20;31;50,0062;0091;1061;20002;20073;20075;20083;20090;20093;20095;20200;21001;21002;21003;21006;21007;21013;21016;21031;23029;30073;30075;30083;30090;30094;30095;30107;30108;31001;31002;31003;31006;31007;31010;31013;31031;31032;33029;4002
1043,TS SKALANI,35.2830445,25.1863136,02;20,21002;31002
1338,TS TIERISSOS,35.329362,25.1194452,05,1008;1110
0702,TSALIKAKI,35.3285811,25.0890608,10;50,10088;20083;20095;21033;21034
0708,TSALIKAKI,35.3284935,25.0891568,01;20,30083;30095;31033;31034
0020,TS_ ATHANATI,35.27983217349887,25.078883819907162,01;19,20043;20100;31025;31026
0013,TS_ IDRYMA TEXNOLOGIAS & EREUNAS (I.T.E),35.3053489,25.0731358,01;11;14;20,20093;29124;29310;30094;39310
1050,TS_GREEN LINE,35.3215149,25.1426351,93,1037
0017,TS_KAVROXORI,35.30836,25.0463167,01;10;20,20095;21034;30095;31034
1047,TS_MESAMPELIES,35.30416220830279,25.137923543154802,04;20,20073;21007;30073;30108;31007
2201,TS_PAGKRITIO STADIO,35.33612570321385,25.107702893215166,92,1035
1044,TS_SQUARE SINANI,35.3192917,25.1328814,04;21,1027;20073;21007
0207,UNIVERSITY OF CRETE,35.3057986,25.0825932,07,30096
1208,VARELATZI L.KNOSSOU 158,35.3195873,25.1441635,02;03;09;50,20002;21001;21002;21003;21031;3002;4002
1273,VASILEIES,35.2706965,25.1348289,20;50,0081;0082;31031
4424,VASILEIOU SMPOKOU,35.3271719,25.1289631,21,1027
4423,VASILEIOU SMPOKOU 60,35.3268869,25.1317123,21,1027
1238,VENIZELEIO IOSPITAL,35.3050521,25.154112,20;21,1027;31001;31002
1215,VENIZELIO IOSPITAL,35.3059139,25.1527773,02;21,1027;20002;21001;21002
0077,VENIZELIO IOSPITAL FORTETSA,35.3058882,25.1523957,03,21003
1275,VIANNOU,35.2737562,25.1383681,20;50,0081;0082;31031
9935,VL?XIA (M),35.2920249,25.1645629,02,20002;21002
1307,VLIXIA,35.2919038,25.1646742,20,31002
9936,VLIXIA 1,35.2960633,25.161702,02,20002;21002
2302,VRITOMARTIDOS,35.3233851,25.1460996,23,21028
2322,VRITOMARTIDOS,35.3235006,25.1462941,17;20,30090;31028
1035,XEROPOTAMOS - VAMVOUKAKI,35.3326059,25.099105,01;20,30083;30095;31009;31010;31033;31034
2203,YPERASTIKO KTEL,35.3412878,25.1393395,91,1036
1091,ZERVOU,35.304374,25.1442879,20,30073;30108;31007
1264,ZOODOXOU PIGIS,35.2720653,25.1386625,09;50,0081;21031
