trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,06:40,07:05,400,425,25,daily,k3.pdf,1
2,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,07:40,08:05,460,485,25,daily,k3.pdf,1
3,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,08:30,08:55,510,535,25,daily,k3.pdf,1
4,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,09:30,09:55,570,595,25,daily,k3.pdf,1
5,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,10:30,10:55,630,655,25,daily,k3.pdf,1
6,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,11:30,11:55,690,715,25,daily,k3.pdf,1
7,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,12:30,12:55,750,775,25,daily,k3.pdf,1
8,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,13:30,13:55,810,835,25,daily,k3.pdf,1
9,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,14:30,14:55,870,895,25,daily,k3.pdf,1
10,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,15:30,15:55,930,955,25,daily,k3.pdf,1
11,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,16:30,16:55,990,1015,25,daily,k3.pdf,1
12,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,17:30,17:55,1050,1075,25,daily,k3.pdf,1
13,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,18:30,18:55,1110,1135,25,daily,k3.pdf,1
14,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,19:30,19:55,1170,1195,25,daily,k3.pdf,1
15,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,20:40,21:05,1240,1265,25,daily,k3.pdf,1
16,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,21:45,22:15,1305,1335,30,daily,k3.pdf,1
