trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
2,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,08:00,08:45,480,525,45,daily,k7.pdf,1
3,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,09:00,09:45,540,585,45,daily,k7.pdf,1
4,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,10:00,10:45,600,645,45,daily,k7.pdf,1
5,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,11:00,11:45,660,705,45,daily,k7.pdf,1
6,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,12:00,12:45,720,765,45,daily,k7.pdf,1
7,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,13:00,13:45,780,825,45,daily,k7.pdf,1
8,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,14:00,14:45,840,885,45,daily,k7.pdf,1
9,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,15:00,15:45,900,945,45,daily,k7.pdf,1
10,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,17:00,17:45,1020,1065,45,daily,k7.pdf,1
11,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,19:00,19:45,1140,1185,45,daily,k7.pdf,1
12,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,21:00,21:45,1260,1305,45,daily,k7.pdf,1
1,12,ΕΝΑΡΞΗ ΑΠΌ ΤΕΡΜΑ ΑΜΝΙΣΣΟ : - ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΝΙΣΣΟΣ / ΕΛ.ΜΕ.ΠΑ.,ΕΝΑΡΞΗ ΑΠΌ ΤΕΡΜΑ ΑΜΝΙΣΣΟ :,ΑΕΡΟΔΡΟΜΙΟ,,06:55,07:35,415,455,40,daily,k7.pdf,1
2,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,07:35,08:20,455,500,45,daily,k7.pdf,1
3,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,08:45,09:40,525,580,55,daily,k7.pdf,1
4,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,09:45,10:40,585,640,55,daily,k7.pdf,1
5,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,10:45,11:38,645,698,53,daily,k7.pdf,2
6,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,11:45,12:40,705,760,55,daily,k7.pdf,2
7,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,12:45,13:40,765,820,55,daily,k7.pdf,2
8,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,13:45,14:35,825,875,50,daily,k7.pdf,2
9,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,14:45,15:35,885,935,50,daily,k7.pdf,2
10,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,15:45,16:35,945,995,50,daily,k7.pdf,2
11,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,17:45,18:40,1065,1120,55,daily,k7.pdf,2
12,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,19:45,20:38,1185,1238,53,daily,k7.pdf,2
13,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,21:45,22:42,1305,1362,57,daily,k7.pdf,2
