trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,07:00,07:45,420,465,45,unknown,kur7.pdf,1
2,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,09:00,09:45,540,585,45,unknown,kur7.pdf,1
3,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,11:00,11:45,660,705,45,unknown,kur7.pdf,1
4,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,13:00,13:45,780,825,45,unknown,kur7.pdf,1
5,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,15:00,15:45,900,945,45,unknown,kur7.pdf,1
6,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,17:00,17:45,1020,1065,45,unknown,kur7.pdf,1
7,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,19:00,19:45,1140,1185,45,unknown,kur7.pdf,1
8,07,ΓΙΟΦΥΡΟ - ΑΜΝΙΣΣΟΣ,ΑΜΝΙΣΣΟΣ,ΓΙΟΦΥΡΟ,ΑΜΝΙΣΣΟΣ,,21:00,21:45,1260,1305,45,unknown,kur7.pdf,1
1,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,07:45,08:25,465,505,40,unknown,kur7.pdf,1
2,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,09:45,10:35,585,635,50,unknown,kur7.pdf,1
3,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,11:45,12:35,705,755,50,unknown,kur7.pdf,1
4,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,13:45,14:35,825,875,50,unknown,kur7.pdf,1
5,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,15:45,16:35,945,995,50,unknown,kur7.pdf,1
6,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,17:45,18:35,1065,1115,50,unknown,kur7.pdf,1
7,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,19:45,20:35,1185,1235,50,unknown,kur7.pdf,1
8,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,21:45,22:35,1305,1355,50,unknown,kur7.pdf,1
