trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,11,ΑΕΡΟΔΡΟΜΙΟ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. - FORTH - ΠΑΝΕΠ/ΜΙΟ - ΛΙΜΑΝΙ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. / FORTH / ΠΑΝΕΠ/ΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,ΛΙΜΑΝΙ,,07:19,07:55,439,475,36,daily,k8.pdf,1
2,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,08:33,09:05,513,545,32,daily,k8.pdf,1
3,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,09:33,10:05,573,605,32,daily,k8.pdf,1
4,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,14:28,15:00,868,900,32,daily,k8.pdf,1
5,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΚΑΛΛΙΘΕΑ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΚΑΛΛΙΘΕΑ,,15:30,16:00,930,960,30,daily,k8.pdf,1
6,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,16:30,17:00,990,1020,30,daily,k8.pdf,1
7,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,17:30,18:00,1050,1080,30,daily,k8.pdf,1
8,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΑΕΡΟΔΡΟΜΙΟ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,19:35,20:10,1175,1210,35,daily,k8.pdf,1
9,11,ΛΙΜΑΝΙ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΑΕΡΟΔΡΟΜΙΟ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,21:20,21:45,1280,1305,25,daily,k8.pdf,1
