trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,07:35,08:05,455,485,30,daily,kur10.pdf,1
2,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,10:10,10:40,610,640,30,daily,kur10.pdf,1
3,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,13:10,13:40,790,820,30,daily,kur10.pdf,1
4,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,16:10,16:40,970,1000,30,daily,kur10.pdf,1
5,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,19:10,19:40,1150,1180,30,daily,kur10.pdf,1
6,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,22:10,22:40,1330,1360,30,daily,kur10.pdf,1
