trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,06:05,06:30,365,390,25,unknown,s12.pdf,1
3,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΜΕΣΑ ΒΙΠΕΗ - ΚΑΛΛΙΘΕΑ,ΕΛ.ΜΕ.ΠΑ. / ΜΕΣΑ ΒΙΠΕΗ,ΑΕΡΟΔΡΟΜΙΟ,ΚΑΛΛΙΘΕΑ,,06:40,07:10,400,430,30,unknown,s12.pdf,1
4,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,07:05,07:30,425,450,25,unknown,s12.pdf,1
5,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΑΜΝΙΣΣΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΕΡΟΔΡΟΜΙΟ,ΑΜΝΙΣΣΟ,,07:20,07:50,440,470,30,unknown,s12.pdf,1
6,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,07:38,08:07,458,487,29,unknown,s12.pdf,1
7,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,07:50,08:25,470,505,35,unknown,s12.pdf,1
8,12,ΚΑΛΛΙΘΕΑ - ΑΛΛΙΚΑΡΝΑΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΑΛΛΙΚΑΡΝΑΣΟΣ / ΕΛ.ΜΕ.ΠΑ.,ΚΑΛΛΙΘΕΑ,ΑΕΡΟΔΡΟΜΙΟ,,08:05,08:40,485,520,35,unknown,s12.pdf,1
9,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΑΜΝΙΣΣΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΕΡΟΔΡΟΜΙΟ,ΑΜΝΙΣΣΟ,,08:15,08:50,495,530,35,unknown,s12.pdf,1
10,12,ΑΕΡΟΔΡΟΜΙΟ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,08:35,09:15,515,555,40,unknown,s12.pdf,1
11,12,ΑΜΝΙΣΣΟΣ - ΕΛ.ΜΕ.ΠΑ. - ΑΕΡΟΔΡΟΜΙΟ,ΕΛ.ΜΕ.ΠΑ.,ΑΜΝΙΣΣΟΣ,ΑΕΡΟΔΡΟΜΙΟ,,08:55,09:33,535,573,38,unknown,s12.pdf,1
