trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,14,ΓΙΟΦΥΡΟ - ΒΙ.ΠΕ.Η. - ΚΑΛΛΙΘΕΑ,ΒΙ.ΠΕ.Η.,ΓΙΟΦΥΡΟ,ΚΑΛΛΙΘΕΑ,,06:48,07:40,408,460,52,daily,k14.pdf,1
2,14,ΓΙΟΦΥΡΟ - ΒΙ.ΠΕ.Η. - ΚΑΛΛΙΘΕΑ,ΒΙ.ΠΕ.Η.,ΓΙΟΦΥΡΟ,ΚΑΛΛΙΘΕΑ,,11:20,12:00,680,720,40,daily,k14.pdf,1
3,14,ΓΙΟΦΥΡΟ - ΒΙ.ΠΕ.Η. - ΚΑΛΛΙΘΕΑ,ΒΙ.ΠΕ.Η.,ΓΙΟΦΥΡΟ,ΚΑΛΛΙΘΕΑ,,14:25,15:00,865,900,35,daily,k14.pdf,1
4,14,ΓΙΟΦΥΡΟ - ΒΙ.ΠΕ.Η. - ΚΑΛΛΙΘΕΑ,ΒΙ.ΠΕ.Η.,ΓΙΟΦΥΡΟ,ΚΑΛΛΙΘΕΑ,,16:20,17:00,980,1020,40,daily,k14.pdf,1
