trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
19,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,13:20,14:10,800,850,50,daily,k6.pdf,1
20,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,13:40,14:30,820,870,50,daily,k6.pdf,1
21,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,14:00,14:50,840,890,50,daily,k6.pdf,1
22,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,14:20,15:10,860,910,50,daily,k6.pdf,1
23,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,14:40,15:30,880,930,50,daily,k6.pdf,1
24,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,15:00,15:50,900,950,50,daily,k6.pdf,1
25,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,15:30,16:20,930,980,50,daily,k6.pdf,1
26,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,16:00,16:50,960,1010,50,daily,k6.pdf,1
27,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,16:30,17:20,990,1040,50,daily,k6.pdf,1
28,06,ΑΕΡΟΔΡΟΜΙΟ - ΑΜΜΟΥΔΑΡΑ - ΑΕΡΟΔΡΟΜΙΟ,ΑΜΜΟΥΔΑΡΑ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,17:00,17:50,1020,1070,50,daily,k6.pdf,1
