trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,06:45,07:10,405,430,25,daily,kur3.pdf,1
2,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,08:45,09:15,525,555,30,daily,kur3.pdf,1
3,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,10:45,11:15,645,675,30,daily,kur3.pdf,1
4,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,12:45,13:15,765,795,30,daily,kur3.pdf,1
5,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,14:45,15:15,885,915,30,daily,kur3.pdf,1
6,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,16:45,17:15,1005,1035,30,daily,kur3.pdf,1
7,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,18:45,19:15,1125,1155,30,daily,kur3.pdf,1
8,03,ΛΙΜΑΝΙ - ΦΟΡΤΕΤΣΑ - ΛΙΜΑΝΙ,ΦΟΡΤΕΤΣΑ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,20:45,21:15,1245,1275,30,daily,kur3.pdf,1
