trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
3,11,ΑΕΡΟΔΡΟΜΙΟ - ΠΑ.Γ.Ν.Η. - Ι.Τ.Ε. - FORTH - ΑΕΡΟΔΡΟΜΙΟ,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. / FORTH,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,07:19,07:55,439,475,36,daily,k11.pdf,1
13,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,08:33,09:05,513,545,32,daily,k11.pdf,1
22,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,09:33,10:00,573,600,27,daily,k11.pdf,1
62,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,14:28,15:00,868,900,32,unknown,k11.pdf,2
68,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΚΑΛΛΙΘΕΑ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΚΑΛΛΙΘΕΑ,,15:30,16:05,930,965,35,unknown,k11.pdf,2
72,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,16:30,17:00,990,1020,30,daily,k11.pdf,3
76,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΑΕΡΟΔΡΟΜΙΟ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,17:30,18:00,1050,1080,30,daily,k11.pdf,3
85,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΛΙΜΑΝΙ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,19:35,20:10,1175,1210,35,daily,k11.pdf,3
92,11,ΛΙΜΑΝΙ - ΠΑΓΝΗ - Ι.Τ.Ε. FORTH - ΠΑΝΕΠΙΣΤΗΜΙΟ - ΑΕΡΟΔΡΟΜΙΟ,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,21:20,21:45,1280,1305,25,daily,k11.pdf,3
94,11,ΑΕΡΟΔΡΟΜΙΟ - ΠΑ.Γ.Ν.Η. / ΠΑΝΕΠ/ΜΙΟ- ΑΕΡΟΔΡΟΜΙΟ,ΠΑ.Γ.Ν.Η. / ΠΑΝΕΠ/ΜΙΟ- ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,ΠΑ.Γ.Ν.Η. / ΠΑΝΕΠ/ΜΙΟ- ΑΕΡΟΔΡΟΜΙΟ,,22:40,23:10,1360,1390,30,daily,k11.pdf,3
