trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,15,ΑΕΡΟΔΡΟΜΙΟ - ΦΟΙΝΙΚΙΑ - ΜΑΛΑΔΕΣ- ΑΕΡΟΔΡΟΜΙΟ,ΦΟΙΝΙΚΙΑ,ΑΕΡΟΔΡΟΜΙΟ,ΜΑΛΑΔΕΣ- ΑΕΡΟΔΡΟΜΙΟ,,06:40,07:10,400,430,30,daily,k15.pdf,1
2,15,ΑΕΡΟΔΡΟΜΙΟ - ΦΟΙΝΙΚΙΑ - ΜΑΛΑΔΕΣ - ΑΕΡΟΔΡΟΜΙΟ,ΦΟΙΝΙΚΙΑ / ΜΑΛΑΔΕΣ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,14:13,14:50,853,890,37,daily,k15.pdf,1
3,15,ΑΕΡΟΔΡΟΜΙΟ - ΦΟΙΝΙΚΙΑ - ΜΑΛΑΔΕΣ - ΑΕΡΟΔΡΟΜΙΟ,ΦΟΙΝΙΚΙΑ / ΜΑΛΑΔΕΣ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,16:05,16:40,965,1000,35,daily,k15.pdf,1
