trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,09,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,,06:45,07:20,405,440,35,daily,k9.pdf,1
2,09,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,,09:05,09:45,545,585,40,daily,k9.pdf,1
3,09,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,,12:30,13:10,750,790,40,daily,k9.pdf,1
4,09,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,,14:10,14:40,850,880,30,daily,k9.pdf,1
5,09,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,ΛΙΜΑΝΙ-ΒΑΣΙΛΕΙΕΣ-ΑΓ. ΒΛΑΣΣΗΣ-ΑΓ. ΣΥΛΛΑΣ- ΛΙΜΑΝΙ,,,16:10,16:40,970,1000,30,daily,k9.pdf,1
6,09,ΛΙΜΑΝΙ - ΑΓ ΣΥΛΛΑΣ - ΑΓ. ΒΛΑΣΣΗ - ΕΞΩ ΒΑΣΙΛΕΙΕΣ - ΛΙΜΑΝΙ,ΑΓ ΣΥΛΛΑΣ / ΑΓ. ΒΛΑΣΣΗ / ΕΞΩ ΒΑΣΙΛΕΙΕΣ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,18:50,19:20,1130,1160,30,daily,k9.pdf,1
7,09,ΛΙΜΑΝΙ - ΑΓ ΣΥΛΛΑΣ - ΑΓ. ΒΛΑΣΣΗ - ΕΞΩ ΒΑΣΙΛΕΙΕΣ - ΛΙΜΑΝΙ,ΑΓ ΣΥΛΛΑΣ / ΑΓ. ΒΛΑΣΣΗ / ΕΞΩ ΒΑΣΙΛΕΙΕΣ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,21:10,21:35,1270,1295,25,daily,k9.pdf,1
